Job_Title,Company,City,State,Work_Type,Min_Salary,Max_Salary,Unit,Posted_Date,Skills,Avg_Salary,Job
Data Analyst I,Children’s Hospital of Philadelphia,Philadelphia,PA,Full-time,58000.0,78100.0,Year,0.5416666666666666,"['SAS', 'Relational databases', 'R', 'Tableau', ""Master's degree"", 'SQL', ""Bachelor's degree"", 'Data visualization', 'Communication skills', 'Python']",68050.0,Data Analyst
Data Analyst,Lululemon,Seattle,WA,Unknown,94300.0,123800.0,Year,0.5833333333333334,"['Power BI', 'Data mining', 'Management', 'Computer Science', 'Relational databases', 'R', 'Business analysis', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'Data analytics', 'Agile', '1 year', 'Data visualization', 'Data manipulation', 'Python', 'Marketing', 'Entry level']",109050.0,Data Analyst
Data Analyst - All Nations Church,Christian Career,Elizabeth,NJ,Full-time,20.89,29.89,Hour,0.25,"['Computer science', 'Data mining', 'Relational databases', 'Data structures', 'Data analysis skills', 'Mid-level', 'Databases', ""Bachelor's degree"", 'Metadata']",25.39,Data Analyst
"Analyst, Data Analytics",Bath & Body Works,Columbus,OH,Full-time,62325.87219178082,84745.32857020549,Year,6.0,"['Power BI', 'R', 'Mid-level', 'Snowflake', 'SQL', ""Bachelor's degree"", 'Data analytics', '1 year', 'Data visualization', 'Communication skills', 'Python']",73535.60038099316,Data Analyst
Data Analyst,Gupta Media,Boston,MA,Full-time,45800.0,58900.0,Year,0.4583333333333333,"['Microsoft Powerpoint', 'Looker', 'Google Data Studio', 'Microsoft Excel', '11+ years', 'Snowflake', 'SQL', 'AWS', ""Bachelor's degree"", 'APIs', 'ETL', 'Python', 'Marketing', 'Entry level']",52350.0,Data Analyst
Data Analyst,Point32Health,Canton,MA,Full-time,59400.0,84700.0,Year,0.75,"['SAS', 'R', 'Mid-level', 'Tableau', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'Data visualization', 'Communication skills', 'Python']",72050.0,Data Analyst
Data Analyst,FlexTG,Mesa,AZ,Unknown,85000.0,114000.0,Year,0.5833333333333334,"['TensorFlow', 'Computer science', 'Power BI', 'Azure', 'Computer Science', 'PyTorch', 'Data analysis skills', 'Mid-level', '3 years', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'Machine learning', 'APIs', 'Predictive analytics', 'Communication skills']",99500.0,Data Analyst
Senior Data Analyst,The Cervantes Group,Boston,MA,Full-time | Contract,140.0,150.0,Hour,0.3333333333333333,"['Looker', 'Power BI', '7 years', '6 years', 'Management', 'Google Tag Manager', 'Data analysis skills', 'Google Cloud Platform', 'Tableau', '3 years', 'SQL', 'AWS', 'Attribution modeling', 'JavaScript', 'APIs', 'Redshift', 'Senior level', 'jQuery']",145.0,Data Analyst
Analyst,"Vizient, Inc.",Irving,TX,Unknown,51900.0,87900.0,Year,0.4583333333333333,"['No experience needed', 'Communication skills', 'Entry level']",69900.0,Data Analyst
Data Analyst,UniFirst,Wilmington,MA,Full-time,66500.0,83200.0,Year,0.75,"['Microsoft Excel', 'Customer service', 'Data analysis skills', 'Mid-level', 'Tableau', '3 years', 'SQL', 'Presentation skills', 'Pivot tables']",74850.0,Data Analyst
